time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot,Volume,Volume MA
615502800,1.577,1.593,1.574,1.5875,1.5646044045278622,1.572772317188854,NaN,NaN,NaN,NaN,0,0
615589200,1.587,1.6305,1.586,1.627,1.5740849473209135,1.5942085061079572,NaN,NaN,NaN,NaN,0,0
615675600,1.628,1.6305,1.6145,1.629,1.5866839758266806,1.6120788669906982,NaN,NaN,NaN,NaN,0,0
615762000,1.6295,1.635,1.6175,1.629,1.6002753869466084,1.6266059345043666,NaN,NaN,NaN,NaN,0,0
616021200,1.628,1.645,1.621,1.639,1.614048311216121,1.6379610968003968,NaN,NaN,1.645,NaN,0,0
616107600,1.6385,1.639,1.62,1.622,1.6256753490872315,1.6416267790901788,NaN,NaN,NaN,NaN,0,0
616194000,1.6225,1.63,1.6145,1.6295,1.6338340137221916,1.64484743318027,NaN,NaN,NaN,1.6145,0,0
616280400,1.628,1.6315,1.6175,1.618,1.639811334980329,1.6418747695312952,1.6421549765976748,NaN,NaN,NaN,0,0
616366800,1.618,1.6255,1.6045,1.605,1.6421549765976748,1.6349101864940785,NaN,NaN,NaN,NaN,0,0
616626000,1.604,1.6155,1.5975,1.6135,1.6410199619274368,1.6287114054747782,NaN,NaN,NaN,1.5975,0,0
616712400,1.6135,1.6285,1.601,1.6215,1.6388965326096452,1.625645919715151,NaN,NaN,1.6285,NaN,0,0
616798800,1.621,1.626,1.6085,1.609,1.635745240088583,1.6200531249328123,NaN,NaN,NaN,NaN,0,0
616885200,1.609,1.629,1.606,1.6225,1.6320079365982705,1.6183063298964402,NaN,NaN,NaN,NaN,0,0
616971600,1.623,1.6335,1.6165,1.617,1.6294901276007963,1.6155754675306317,NaN,NaN,1.6335,NaN,0,0
617230800,1.612,1.627,1.609,1.6255,1.626490168920926,1.6178269658821616,NaN,NaN,NaN,NaN,0,0
617317200,1.625,1.639,1.6215,1.638,1.625783747622265,1.6235528857278398,NaN,1.6283058111247972,NaN,NaN,0,0
617403600,1.638,1.6585,1.6335,1.658,1.6283058111247972,1.6364982385576425,NaN,NaN,NaN,NaN,0,0
617490000,1.6585,1.665,1.6535,1.6555,1.6342426690155565,1.6470850145315137,NaN,NaN,1.665,NaN,0,0
617576400,1.656,1.658,1.641,1.6525,1.6397642905693297,1.6542605632043996,NaN,NaN,NaN,NaN,0,0
617835600,1.652,1.667,1.651,1.6645,1.6470007665743036,1.6615470702326631,NaN,NaN,NaN,NaN,0,0
617922000,1.664,1.67,1.65,1.664,1.653587705914207,1.6671734492793642,NaN,NaN,1.67,NaN,0,0
618008400,1.6635,1.669,1.654,1.6545,1.6594701818978697,1.6683420960535529,1.6616683865099728,NaN,NaN,NaN,0,0
618094800,1.6545,1.6595,1.63,1.6365,1.6616683865099728,1.6614455921540936,NaN,NaN,NaN,NaN,0,0
618181200,1.636,1.641,1.6045,1.605,1.6591023937058549,1.6438609191619713,NaN,NaN,NaN,NaN,0,0
618440400,1.602,1.6115,1.5935,1.5985,1.6510034497067736,1.6254875712517582,NaN,NaN,NaN,1.5935,0,0
618526800,1.5985,1.6265,1.598,1.6255,1.6423604629861956,1.6186886743482853,NaN,NaN,NaN,NaN,0,0
618613200,1.6255,1.6305,1.6145,1.6225,1.6344558012654156,1.6159448789102255,NaN,NaN,NaN,NaN,0,0
618699600,1.623,1.6345,1.615,1.617,1.628002285808461,1.613450355669543,NaN,NaN,1.6345,NaN,0,0
618786000,1.6165,1.6195,1.579,1.5825,1.6192259478348965,1.5990992048968329,NaN,NaN,NaN,NaN,0,0
619045200,1.581,1.5935,1.574,1.577,1.6089101533478665,1.5849833421815365,NaN,NaN,NaN,NaN,0,0
619131600,1.5765,1.5855,1.57,1.575,1.5973280204492484,1.5730554591446178,NaN,NaN,NaN,1.57,0,0
619218000,1.576,1.585,1.5715,1.5815,1.586442213356941,1.5692361683769802,NaN,NaN,NaN,NaN,0,0
