time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot,Volume,Volume MA
560552400,1.3045,1.3086,1.3043,1.306,1.306314436106071,1.3048481153254299,NaN,NaN,NaN,NaN,0,0
560638800,1.3059,1.3075,1.3038,1.3069,1.3051881550883426,1.3044746924499682,NaN,NaN,NaN,NaN,0,0
560725200,1.307,1.3097,1.306,1.3066,1.3047047864167942,1.3046759551315783,NaN,1.304256779123315,1.3097,NaN,0,0
560984400,1.307,1.3072,1.3045,1.3045,1.304256779123315,1.304267750060279,NaN,NaN,NaN,NaN,0,0
561070800,1.3055,1.3065,1.3043,1.3053,1.304025332789368,1.3041172648003037,NaN,NaN,NaN,1.3043,0,0
561157200,1.3055,1.3073,1.305,1.3062,1.3039886166076602,1.3042729307158978,1.3034806922153819,NaN,1.3073,NaN,0,0
561243600,1.3062,1.3063,1.2985,1.3,1.3034806922153819,1.3027849108804896,NaN,NaN,NaN,NaN,0,0
561330000,1.3,1.3005,1.2967,1.2968,1.3023558687797472,1.300305193290937,NaN,NaN,NaN,NaN,0,0
561589200,1.297,1.3018,1.2945,1.3012,1.30104393406762,1.299341708529127,NaN,1.3019410880203972,NaN,1.2945,0,0
561675600,1.3025,1.323,1.3025,1.317,1.3019410880203972,1.3042405688545704,NaN,NaN,1.323,NaN,0,0
561762000,1.3165,1.319,1.3117,1.3135,1.3037867219380486,1.3084079521769545,NaN,NaN,NaN,NaN,0,0
561848400,1.3139,1.3185,1.3113,1.3175,1.3062796422836154,1.3129417252455207,NaN,NaN,NaN,NaN,0,0
561934800,1.318,1.318,1.3105,1.3128,1.3088517195813896,1.313952712184298,NaN,NaN,NaN,1.3105,0,0
562197600,1.312,1.3175,1.3115,1.3172,1.3112183754515392,1.3161979496138605,NaN,NaN,NaN,NaN,0,0
562284000,1.3173,1.322,1.3165,1.3205,1.3138040019543369,1.3187220638766979,NaN,NaN,1.322,NaN,0,0
562370400,1.321,1.321,1.3167,1.3195,1.316131539716753,1.3209583088949508,NaN,NaN,NaN,NaN,0,0
562456800,1.3193,1.32,1.315,1.3193,1.3180720737388079,1.3221824506240456,NaN,NaN,NaN,1.315,0,0
562543200,1.32,1.3222,1.3153,1.3155,1.3198632997385784,1.3214757220364208,1.32066868761506,NaN,1.3222,NaN,0,0
562802400,1.316,1.3173,1.3132,1.316,1.32066868761506,1.3205492240093437,NaN,NaN,NaN,1.3132,0,0
562888800,1.3158,1.326,1.3153,1.3235,1.3216520188934888,1.321601404495816,NaN,1.3227841300258394,NaN,NaN,0,0
562975200,1.3235,1.327,1.3225,1.3256,1.3227841300258394,1.3234193321408785,NaN,NaN,NaN,NaN,0,0
563061600,1.3257,1.3317,1.324,1.3254,1.32438810577372,1.3251189825612109,1.3250222632788216,NaN,1.3317,NaN,0,0
563148000,1.3253,1.3253,1.3175,1.3207,1.3250222632788216,1.324484419430673,NaN,NaN,NaN,NaN,0,0
563407200,1.3208,1.3209,1.317,1.3197,1.3250724512802219,1.3232879169585632,NaN,NaN,NaN,NaN,0,0
563493600,1.3197,1.3227,1.3167,1.3175,1.3246688526432049,1.3212825207643915,NaN,NaN,NaN,NaN,0,0
563580000,1.3177,1.319,1.316,1.3175,1.3235884317697244,1.3198334544573933,NaN,NaN,NaN,1.316,0,0
563666400,1.3172,1.3193,1.3165,1.3175,1.322418519462692,1.3187006875987912,NaN,NaN,NaN,NaN,0,0
563752800,1.3177,1.3195,1.3175,1.3186,1.3214111166012241,1.3183792751322634,NaN,NaN,1.3195,NaN,0,0
564012000,1.319,1.3193,1.3153,1.3172,1.3203147630183583,1.3177809132480436,NaN,NaN,NaN,1.3153,0,0
564098400,1.3174,1.3179,1.3165,1.3176,1.3192872207983914,1.3173057458752453,NaN,NaN,NaN,NaN,0,0
564184800,1.3177,1.3177,1.3122,1.3123,1.317952368915846,1.3150741729832134,NaN,NaN,NaN,NaN,0,0
564271200,1.312,1.3123,1.3102,1.3115,1.316091811906462,1.3129555390548118,NaN,NaN,NaN,1.3102,0,0
564357600,1.3115,1.3147,1.3103,1.3135,1.314446710542322,1.3118809842903267,NaN,NaN,NaN,NaN,0,0
564616800,1.313,1.3135,1.3105,1.3125,1.3129851342127685,1.3114895863875813,NaN,NaN,NaN,NaN,0,0
564703200,1.3124,1.3165,1.312,1.3125,1.3121846808357895,1.3113874760978426,NaN,NaN,1.3165,NaN,0,0
564789600,1.3128,1.3129,1.3088,1.3108,1.311242580906308,1.3106934585621606,NaN,NaN,NaN,NaN,0,0
564962400,1.3092,1.3105,1.308,1.3089,1.3103274693842542,1.3095584949532968,NaN,NaN,NaN,NaN,0,0
565221600,1.309,1.3103,1.3068,1.31,1.309301001277101,1.3088970231358417,NaN,1.3088773353116594,NaN,1.3068,0,0
565308000,1.3098,1.3141,1.3098,1.3135,1.3088773353116594,1.309686265081116,NaN,NaN,NaN,NaN,0,0
565394400,1.3136,1.3145,1.3125,1.3135,1.3089280533985315,1.3108349533231023,NaN,NaN,NaN,NaN,0,0
565480800,1.3138,1.3145,1.31,1.31,1.3091966828020125,1.31079666573217,NaN,NaN,1.3145,NaN,0,0
565567200,1.3102,1.313,1.3085,1.3125,1.3094689803664696,1.3112052494108333,NaN,NaN,NaN,1.3085,0,0
565826400,1.313,1.313,1.3098,1.3104,1.3098697643575676,1.3108939748714097,NaN,NaN,NaN,NaN,0,0
565912800,1.3103,1.3103,1.3072,1.3074,1.3097467246852894,1.3098812401427307,1.309314779900143,NaN,NaN,NaN,0,0
565999200,1.3074,1.3088,1.3062,1.3064,1.309314779900143,1.308321361326281,NaN,NaN,NaN,NaN,0,0
566085600,1.3067,1.307,1.3045,1.3055,1.3084866431078497,1.3068357167483,NaN,NaN,NaN,NaN,0,0
566172000,1.3049,1.3074,1.3036,1.3065,1.3075917187823396,1.3061580001243454,NaN,NaN,NaN,1.3036,0,0
566431200,1.3065,1.309,1.306,1.3065,1.3069857826114362,1.3057481805595725,NaN,NaN,NaN,NaN,0,0
566517600,1.3065,1.3099,1.3064,1.3098,1.3066433515209055,1.3065541775302214,NaN,1.3067209217817652,NaN,NaN,0,0
566604000,1.3097,1.3124,1.3073,1.3084,1.3067209217817652,1.3068898427471514,NaN,NaN,1.3124,NaN,0,0
566690400,1.3087,1.3087,1.3048,1.3068,1.3065193770022132,1.306796658183436,NaN,NaN,NaN,1.3048,0,0
566776800,1.307,1.3085,1.3055,1.3081,1.3064197895674923,1.3068895934761253,NaN,NaN,NaN,NaN,0,0
567036000,1.3083,1.3085,1.3067,1.3067,1.3063804843731919,1.3067290820277666,NaN,NaN,NaN,NaN,0,0
567122400,1.3068,1.3075,1.3045,1.3057,1.3061666281119244,1.3064562788767031,NaN,NaN,NaN,1.3045,0,0
567208800,1.3055,1.3075,1.3055,1.3068,1.306087363351037,1.3064357733444085,NaN,NaN,NaN,NaN,0,0
567295200,1.307,1.3078,1.3065,1.3065,1.3061834696264087,1.3064686690044307,NaN,NaN,1.3078,NaN,0,0
567640800,1.3065,1.3065,1.3025,1.3048,1.3059167766018709,1.305997786257736,NaN,NaN,NaN,1.3025,0,0
