time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot
1637596800,1.33998,1.3421,1.3399699999999999,1.34129,1.2230093110635407e+308,8.765158892190744e+307,1.2230093110635407e+308,NaN,NaN,NaN,1.2230093110635407e+308,8.765158892190744e+307,1.2230093110635407e+308,NaN,NaN,NaN
1637600400,1.34129,1.3413,1.33917,1.33939,NaN,-6.869167270978161e+307,NaN,NaN,NaN,NaN,NaN,-6.869167270978161e+307,NaN,NaN,NaN,NaN
1637604000,1.33939,1.33965,1.33854,1.3391899999999999,-8.643617856347007e+307,1.031536477505391e+308,NaN,NaN,NaN,NaN,-8.643617856347007e+307,1.031536477505391e+308,NaN,NaN,NaN,NaN
1637607600,1.3391899999999999,1.33921,1.33843,1.33848,6.773916778001654e+307,-1.1949259753777124e+308,6.773916778001654e+307,NaN,NaN,NaN,6.773916778001654e+307,-1.1949259753777124e+308,6.773916778001654e+307,NaN,NaN,NaN
1637611200,1.33848,1.33992,1.33846,1.33912,-1.0172327993258308e+308,NaN,NaN,-1.0172327993258308e+308,NaN,NaN,-1.0172327993258308e+308,NaN,NaN,-1.0172327993258308e+308,NaN,NaN
1637614800,1.33912,1.33988,1.33869,1.33962,1.1783566761111138e+308,8.445138891711223e+307,1.1783566761111138e+308,NaN,NaN,NaN,1.1783566761111138e+308,8.445138891711223e+307,1.1783566761111138e+308,NaN,NaN,NaN
1637618400,1.33962,1.33971,1.33879,1.33939,NaN,-6.618370800498786e+307,NaN,NaN,NaN,NaN,NaN,-6.618370800498786e+307,NaN,NaN,NaN,NaN
1637622000,1.33939,1.3397999999999999,1.3391899999999999,1.33972,-8.328035375235635e+307,9.938746041627376e+307,NaN,NaN,NaN,NaN,-8.328035375235635e+307,9.938746041627376e+307,NaN,NaN,NaN,NaN
1637625600,1.33972,1.34038,1.3395299999999999,1.34008,6.526597947024647e+307,-1.1512986759851062e+308,6.526597947024647e+307,NaN,NaN,NaN,6.526597947024647e+307,-1.1512986759851062e+308,6.526597947024647e+307,NaN,NaN,NaN
1637629200,1.34008,1.34055,1.33982,1.33996,-9.800931598815224e+307,NaN,NaN,-9.800931598815224e+307,NaN,NaN,-9.800931598815224e+307,NaN,NaN,-9.800931598815224e+307,NaN,NaN
1637632800,1.33996,1.34012,1.33852,1.33922,1.1353343294894112e+308,8.136802969291958e+307,1.1353343294894112e+308,NaN,NaN,NaN,1.1353343294894112e+308,8.136802969291958e+307,1.1353343294894112e+308,NaN,NaN,NaN
1637636400,1.33922,1.34004,1.33896,1.33965,-1.4412387563768434e+308,-6.376731025019496e+307,NaN,-1.4412387563768434e+308,NaN,NaN,-1.4412387563768434e+308,-6.376731025019496e+307,NaN,-1.4412387563768434e+308,NaN,NaN
1637640000,1.33965,1.33971,1.3388,1.33923,NaN,9.575877832148464e+307,NaN,NaN,NaN,NaN,NaN,9.575877832148464e+307,NaN,NaN,NaN,NaN
